epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.2313,0,84.1345,0,0,0,0,0,0,0,0,0.0703093,0.00329897,0.00329897
2,135.554,0,0,0,0,0,0,0,0,0,0,0.0402828,0.0066058,0.0066058
3,194.782,0,0,0,0,0,0,0,0,0,0,0.0102296,0.00988599,0.00988599
4,256.104,0,0,0,0,0,0,0,0,0,0,0.00988012,0.00988012,0.00988012
5,317.189,0,0,0,0,0,0,0,0,0,0,0.00984016,0.00984016,0.00984016
6,375.484,0,0,0,0,0,0,0,0,0,0,0.0098002,0.0098002,0.0098002
7,436.175,0,0,0,0,0,0,0,0,0,0,0.00976024,0.00976024,0.00976024
8,497.313,0,0,0,0,0,0,0,0,0,0,0.00972028,0.00972028,0.00972028
9,559.154,0,0,0,0,0,0,0,0,0,0,0.00968032,0.00968032,0.00968032
10,620.423,0,0,0,0,0,0,0,0,0,0,0.00964036,0.00964036,0.00964036
11,680.344,0,0,0,0,0,0,0,0,0,0,0.0096004,0.0096004,0.0096004
12,742.339,0,0,0,0,0,0,0,0,0,0,0.00956044,0.00956044,0.00956044
13,801.814,0,0,0,0,0,0,0,0,0,0,0.00952048,0.00952048,0.00952048
14,862.22,0,0,0,0,0,0,0,0,0,0,0.00948052,0.00948052,0.00948052
15,927.704,0,0,0,0,0,0,0,0,0,0,0.00944056,0.00944056,0.00944056
16,990.473,0,0,0,0,0,0,0,0,0,0,0.0094006,0.0094006,0.0094006
17,1049.94,0,0,0,0,0,0,0,0,0,0,0.00936064,0.00936064,0.00936064
18,1107.85,0,0,0,0,0,0,0,0,0,0,0.00932068,0.00932068,0.00932068
19,1156.45,0,0,0,0,0,0,0,0,0,0,0.00928072,0.00928072,0.00928072
20,1212.24,0,0,0,0,0,0,0,0,0,0,0.00924076,0.00924076,0.00924076
21,1267.8,0,0,0,0,0,0,0,0,0,0,0.0092008,0.0092008,0.0092008
22,1330.65,0,0,0,0,0,0,0,0,0,0,0.00916084,0.00916084,0.00916084
23,1389.11,0,0,0,0,0,0,0,0,0,0,0.00912088,0.00912088,0.00912088
24,1449.17,0,0,0,0,0,0,0,0,0,0,0.00908092,0.00908092,0.00908092
25,1508.53,0,0,0,0,0,0,0,0,0,0,0.00904096,0.00904096,0.00904096
26,1567.04,0,0,0,0,0,0,0,0,0,0,0.009001,0.009001,0.009001
27,1628.02,0,0,0,0,0,0,0,0,0,0,0.00896104,0.00896104,0.00896104
28,1692.13,0,0,0,0,0,0,0,0,0,0,0.00892108,0.00892108,0.00892108
29,1752.78,0,0,0,0,0,0,0,0,0,0,0.00888112,0.00888112,0.00888112
30,1814.3,0,0,0,0,0,0,0,0,0,0,0.00884116,0.00884116,0.00884116
31,1877.56,0,0,0,0,0,0,0,0,0,0,0.0088012,0.0088012,0.0088012
32,1944.63,0,0,0,0,0,0,0,0,0,0,0.00876124,0.00876124,0.00876124
33,2009.35,0,0,0,0,0,0,0,0,0,0,0.00872128,0.00872128,0.00872128
34,2075.72,0,0,0,0,0,0,0,0,0,0,0.00868132,0.00868132,0.00868132
35,2142.26,0,0,0,0,0,0,0,0,0,0,0.00864136,0.00864136,0.00864136
36,2206,0,0,0,0,0,0,0,0,0,0,0.0086014,0.0086014,0.0086014
37,2267.88,0,0,0,0,0,0,0,0,0,0,0.00856144,0.00856144,0.00856144
38,2327.07,0,0,0,0,0,0,0,0,0,0,0.00852148,0.00852148,0.00852148
39,2391.13,0,0,0,0,0,0,0,0,0,0,0.00848152,0.00848152,0.00848152
40,2443.58,0,0,0,0,0,0,0,0,0,0,0.00844156,0.00844156,0.00844156
41,2501.32,0,0,0,0,0,0,0,0,0,0,0.0084016,0.0084016,0.0084016
42,2561.56,0,0,0,0,0,0,0,0,0,0,0.00836164,0.00836164,0.00836164
43,2619.13,0,0,0,0,0,0,0,0,0,0,0.00832168,0.00832168,0.00832168
44,2676.5,0,0,0,0,0,0,0,0,0,0,0.00828172,0.00828172,0.00828172
45,2733.94,0,0,0,0,0,0,0,0,0,0,0.00824176,0.00824176,0.00824176
46,2791.86,0,0,0,0,0,0,0,0,0,0,0.0082018,0.0082018,0.0082018
47,2849.95,0,0,0,0,0,0,0,0,0,0,0.00816184,0.00816184,0.00816184
48,2907.41,0,0,0,0,0,0,0,0,0,0,0.00812188,0.00812188,0.00812188
49,2962.73,0,0,0,0,0,0,0,0,0,0,0.00808192,0.00808192,0.00808192
50,3020.74,0,0,0,0,0,0,0,0,0,0,0.00804196,0.00804196,0.00804196
51,3076.66,0,0,0,0,0,0,0,0,0,0,0.008002,0.008002,0.008002
52,3136.85,0,0,0,0,0,0,0,0,0,0,0.00796204,0.00796204,0.00796204
53,3196.34,0,0,0,0,0,0,0,0,0,0,0.00792208,0.00792208,0.00792208
54,3311.38,0,0,0,0,0,0,0,0,0,0,0.00788212,0.00788212,0.00788212
55,3499.98,0,0,0,0,0,0,0,0,0,0,0.00784216,0.00784216,0.00784216
56,3696.42,0,0,0,0,0,0,0,0,0,0,0.0078022,0.0078022,0.0078022
57,3783.55,0,0,0,0,0,0,0,0,0,0,0.00776224,0.00776224,0.00776224
58,3831.25,0,0,0,0,0,0,0,0,0,0,0.00772228,0.00772228,0.00772228
59,3879.75,0,0,0,0,0,0,0,0,0,0,0.00768232,0.00768232,0.00768232
60,3928.48,0,0,0,0,0,0,0,0,0,0,0.00764236,0.00764236,0.00764236
61,3981.03,0,0,0,0,0,0,0,0,0,0,0.0076024,0.0076024,0.0076024
62,4027.68,0,0,0,0,0,0,0,0,0,0,0.00756244,0.00756244,0.00756244
63,4070.24,0,0,0,0,0,0,0,0,0,0,0.00752248,0.00752248,0.00752248
64,4112.4,0,0,0,0,0,0,0,0,0,0,0.00748252,0.00748252,0.00748252
65,4154.47,0,0,0,0,0,0,0,0,0,0,0.00744256,0.00744256,0.00744256
66,4197.55,0,0,0,0,0,0,0,0,0,0,0.0074026,0.0074026,0.0074026
67,4239.2,0,0,0,0,0,0,0,0,0,0,0.00736264,0.00736264,0.00736264
68,4281.17,0,0,0,0,0,0,0,0,0,0,0.00732268,0.00732268,0.00732268
69,4337.77,0,0,0,0,0,0,0,0,0,0,0.00728272,0.00728272,0.00728272
70,4413.81,0,0,0,0,0,0,0,0,0,0,0.00724276,0.00724276,0.00724276
71,4487.01,0,0,0,0,0,0,0,0,0,0,0.0072028,0.0072028,0.0072028
72,4559.55,0,0,0,0,0,0,0,0,0,0,0.00716284,0.00716284,0.00716284
73,4633.97,0,0,0,0,0,0,0,0,0,0,0.00712288,0.00712288,0.00712288
74,4702.77,0,0,0,0,0,0,0,0,0,0,0.00708292,0.00708292,0.00708292
75,4771.94,0,0,0,0,0,0,0,0,0,0,0.00704296,0.00704296,0.00704296
76,4835.58,0,0,0,0,0,0,0,0,0,0,0.007003,0.007003,0.007003
77,4908.11,0,0,0,0,0,0,0,0,0,0,0.00696304,0.00696304,0.00696304
78,4978.28,0,0,0,0,0,0,0,0,0,0,0.00692308,0.00692308,0.00692308
79,5045.08,0,0,0,0,0,0,0,0,0,0,0.00688312,0.00688312,0.00688312
80,5114.85,0,0,0,0,0,0,0,0,0,0,0.00684316,0.00684316,0.00684316
81,5177.07,0,0,0,0,0,0,0,0,0,0,0.0068032,0.0068032,0.0068032
82,5249.34,0,0,0,0,0,0,0,0,0,0,0.00676324,0.00676324,0.00676324
83,5319.4,0,0,0,0,0,0,0,0,0,0,0.00672328,0.00672328,0.00672328
84,5384.51,0,0,0,0,0,0,0,0,0,0,0.00668332,0.00668332,0.00668332
85,5457.81,0,0,0,0,0,0,0,0,0,0,0.00664336,0.00664336,0.00664336
86,5530.44,0,0,0,0,0,0,0,0,0,0,0.0066034,0.0066034,0.0066034
87,5604.39,0,0,0,0,0,0,0,0,0,0,0.00656344,0.00656344,0.00656344
88,5677.81,0,0,0,0,0,0,0,0,0,0,0.00652348,0.00652348,0.00652348
89,5753.07,0,0,0,0,0,0,0,0,0,0,0.00648352,0.00648352,0.00648352
90,5824.37,0,0,0,0,0,0,0,0,0,0,0.00644356,0.00644356,0.00644356
91,5893.51,0,0,0,0,0,0,0,0,0,0,0.0064036,0.0064036,0.0064036
92,5963.16,0,0,0,0,0,0,0,0,0,0,0.00636364,0.00636364,0.00636364
93,6035.7,0,0,0,0,0,0,0,0,0,0,0.00632368,0.00632368,0.00632368
94,6106.85,0,0,0,0,0,0,0,0,0,0,0.00628372,0.00628372,0.00628372
95,6180.91,0,0,0,0,0,0,0,0,0,0,0.00624376,0.00624376,0.00624376
96,6241.85,0,0,0,0,0,0,0,0,0,0,0.0062038,0.0062038,0.0062038
97,6295.35,0,0,0,0,0,0,0,0,0,0,0.00616384,0.00616384,0.00616384
98,6344.56,0,0,0,0,0,0,0,0,0,0,0.00612388,0.00612388,0.00612388
99,6395.36,0,0,0,0,0,0,0,0,0,0,0.00608392,0.00608392,0.00608392
100,6448.37,0,0,0,0,0,0,0,0,0,0,0.00604396,0.00604396,0.00604396
101,6505.69,0,0,0,0,0,0,0,0,0,0,0.006004,0.006004,0.006004
102,6556.44,0,0,0,0,0,0,0,0,0,0,0.00596404,0.00596404,0.00596404
103,6613.43,0,0,0,0,0,0,0,0,0,0,0.00592408,0.00592408,0.00592408
104,6677.58,0,0,0,0,0,0,0,0,0,0,0.00588412,0.00588412,0.00588412
105,6731.05,0,0,0,0,0,0,0,0,0,0,0.00584416,0.00584416,0.00584416
106,6775.23,0,0,0,0,0,0,0,0,0,0,0.0058042,0.0058042,0.0058042
107,6829.3,0,0,0,0,0,0,0,0,0,0,0.00576424,0.00576424,0.00576424
108,6892.04,0,0,0,0,0,0,0,0,0,0,0.00572428,0.00572428,0.00572428
109,6961.34,0,0,0,0,0,0,0,0,0,0,0.00568432,0.00568432,0.00568432
110,7025.59,0,0,0,0,0,0,0,0,0,0,0.00564436,0.00564436,0.00564436
111,7102.16,0,0,0,0,0,0,0,0,0,0,0.0056044,0.0056044,0.0056044
112,7164.58,0,0,0,0,0,0,0,0,0,0,0.00556444,0.00556444,0.00556444
113,7226.72,0,0,0,0,0,0,0,0,0,0,0.00552448,0.00552448,0.00552448
114,7293.56,0,0,0,0,0,0,0,0,0,0,0.00548452,0.00548452,0.00548452
115,7359.55,0,0,0,0,0,0,0,0,0,0,0.00544456,0.00544456,0.00544456
116,7428.8,0,0,0,0,0,0,0,0,0,0,0.0054046,0.0054046,0.0054046
117,7488.64,0,0,0,0,0,0,0,0,0,0,0.00536464,0.00536464,0.00536464
118,7553.08,0,0,0,0,0,0,0,0,0,0,0.00532468,0.00532468,0.00532468
119,7615.79,0,0,0,0,0,0,0,0,0,0,0.00528472,0.00528472,0.00528472
120,7673.44,0,0,0,0,0,0,0,0,0,0,0.00524476,0.00524476,0.00524476
121,7732.93,0,0.0013,0,0,0,0,0,0,0,0,0.0052048,0.0052048,0.0052048
122,7800.88,0,0,0,0,0,0,0,0,0,0,0.00516484,0.00516484,0.00516484
123,7869.2,0,0,0,0,0,0,0,0,0,0,0.00512488,0.00512488,0.00512488
124,7927.6,0,0,0,0,0,0,0,0,0,0,0.00508492,0.00508492,0.00508492
125,7984.03,0,0,0,0,0,0,0,0,0,0,0.00504496,0.00504496,0.00504496
126,8047.68,0,0,0,0,0,0,0,0,0,0,0.005005,0.005005,0.005005
127,8112.73,0,0,0,0,0,0,0,0,0,0,0.00496504,0.00496504,0.00496504
128,8171.73,0,0,0,0,0,0,0,0,0,0,0.00492508,0.00492508,0.00492508
129,8226.22,0,0,0,0,0,0,0,0,0,0,0.00488512,0.00488512,0.00488512
130,8283.58,0,0,0,0,0,0,0,0,0,0,0.00484516,0.00484516,0.00484516
